Timestamp,Vehicle ID,Speed (km/h)
20250404_133013,6,61.1,snapshots\vehicle_6_20250404_133013.jpg
20250404_133013,18,61.0,snapshots\vehicle_18_20250404_133013.jpg
20250404_133013,22,120.4,snapshots\vehicle_22_20250404_133013.jpg
20250404_133014,6,61.1,snapshots\vehicle_6_20250404_133014.jpg
20250404_133014,18,61.0,snapshots\vehicle_18_20250404_133014.jpg
20250404_133014,22,107.2,snapshots\vehicle_22_20250404_133014.jpg
20250404_133014,18,61.0,snapshots\vehicle_18_20250404_133014.jpg
20250404_133014,22,95.4,snapshots\vehicle_22_20250404_133014.jpg
20250404_133014,18,61.0,snapshots\vehicle_18_20250404_133014.jpg
20250404_133014,22,87.9,snapshots\vehicle_22_20250404_133014.jpg
20250404_133014,18,61.0,snapshots\vehicle_18_20250404_133014.jpg
20250404_133014,22,83.1,snapshots\vehicle_22_20250404_133014.jpg
20250404_133014,22,79.2,snapshots\vehicle_22_20250404_133014.jpg
20250404_133014,22,66.3,snapshots\vehicle_22_20250404_133014.jpg
20250404_133014,22,62.8,snapshots\vehicle_22_20250404_133014.jpg
20250404_133014,22,61.7,snapshots\vehicle_22_20250404_133014.jpg
20250404_133014,22,61.4,snapshots\vehicle_22_20250404_133014.jpg
20250404_133014,22,61.3,snapshots\vehicle_22_20250404_133014.jpg
20250404_133014,22,61.3,snapshots\vehicle_22_20250404_133014.jpg
20250404_133014,23,51.3,snapshots\vehicle_23_20250404_133014.jpg
20250404_133014,22,61.3,snapshots\vehicle_22_20250404_133014.jpg
20250404_133015,22,61.3,snapshots\vehicle_22_20250404_133015.jpg
20250404_133015,22,61.3,snapshots\vehicle_22_20250404_133015.jpg
20250404_133015,23,53.7,snapshots\vehicle_23_20250404_133015.jpg
20250404_133015,22,61.3,snapshots\vehicle_22_20250404_133015.jpg
20250404_133015,23,54.3,snapshots\vehicle_23_20250404_133015.jpg
20250404_133015,22,61.3,snapshots\vehicle_22_20250404_133015.jpg
20250404_133015,23,53.6,snapshots\vehicle_23_20250404_133015.jpg
20250404_133015,22,61.3,snapshots\vehicle_22_20250404_133015.jpg
20250404_133015,23,53.8,snapshots\vehicle_23_20250404_133015.jpg
20250404_133015,23,53.8,snapshots\vehicle_23_20250404_133015.jpg
20250404_133015,16,50.2,snapshots\vehicle_16_20250404_133015.jpg
20250404_133015,23,53.8,snapshots\vehicle_23_20250404_133015.jpg
20250404_133015,16,53.0,snapshots\vehicle_16_20250404_133015.jpg
20250404_133015,23,53.8,snapshots\vehicle_23_20250404_133015.jpg
20250404_133015,16,57.0,snapshots\vehicle_16_20250404_133015.jpg
20250404_133015,23,53.8,snapshots\vehicle_23_20250404_133015.jpg
20250404_133015,16,61.2,snapshots\vehicle_16_20250404_133015.jpg
20250404_133015,23,78.5,snapshots\vehicle_23_20250404_133015.jpg
